Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,Hairy Sand Wasp,-,Podalonia hirsuta,-,NHMSYS0000876592,-,new_species,
INSERT,NEW,-,Buff-tailed Bumblebee,-,Bombus terrestris,-,NHMSYS0000875595,-,new_species,
INSERT,NEW,-,Shaggy Furrow Bee,-,Lasioglossum villosulum,-,NHMSYS0000876215,-,new_species,
INSERT,NEW,-,,-,Stethomostus fuliginosus,-,NHMSYS0020482269,-,new_species,
INSERT,NEW,-,,-,Dolerus puncticollis,-,NBNSYS0000013347,-,new_species,
INSERT,NEW,-,,-,Lindenius albilabris,-,NHMSYS0000876241,-,new_species,
INSERT,NEW,-,Smooth-faced Furrow Bee,-,Lasioglossum fratellum,-,NHMSYS0000876178,-,new_species,
INSERT,NEW,-,,-,Myrmica sabuleti,-,NHMSYS0000876373,-,new_species,
INSERT,NEW,-,,-,Heterarthrus fiora,-,NHMSYS0021239673,-,new_species,
INSERT,NEW,-,,-,Temnothorax nylanderi,-,NHMSYS0000876743,-,new_species,
INSERT,NEW,-,,-,Dolerus ferrugatus,-,NBNSYS0000013332,-,new_species,
INSERT,NEW,-,Shuckard's Wasp,-,Pemphredon inornata,-,NHMSYS0000876562,-,new_species,
INSERT,NEW,-,Furry-bellied Blood Bee,-,Sphecodes hyalinatus,-,NHMSYS0000876683,-,new_species,
INSERT,NEW,-,,-,Dolichovespula saxonica,-,NHMSYS0000875848,-,new_species,
INSERT,NEW,-,Cherry Gall,-,Cynips quercusfolii,-,NBNSYS0000031936,-,new_species,
INSERT,NEW,-,Mournful Wasp,-,Pemphredon lugubris,-,NHMSYS0000876563,-,new_species,
INSERT,NEW,-,Slender Wood Borer Wasp,-,Trypoxylon attenuatum,-,NHMSYS0000876764,-,new_species,
INSERT,NEW,-,,-,Priocnemis schioedtei,-,NBNSYS0000009410,-,new_species,
INSERT,NEW,-,Ridge-cheeked Furrow Bee,-,Lasioglossum puncticolle,-,NHMSYS0000876203,-,new_species,
INSERT,NEW,-,,-,Rhogogaster scalaris,-,NBNSYS0100005132,-,new_species,
INSERT,NEW,-,,-,Spilomena troglodytes,-,NHMSYS0000876705,-,new_species,
INSERT,NEW,-,,-,Fenella nigrita,-,NHMSYS0020481187,-,new_species,
INSERT,NEW,-,,-,Tenthredopsis coquebertii,-,NHMSYS0020482478,-,new_species,
INSERT,NEW,-,Black Mining Bee,-,Andrena pilipes,-,NHMSYS0000875254,-,new_species,
INSERT,NEW,-,,-,Crossocerus tarsatus,-,NHMSYS0000875805,-,new_species,
INSERT,NEW,-,,-,Nesoselandria morio,-,NHMSYS0020973393,-,new_species,
INSERT,NEW,-,Flavous Nomad Bee,-,Nomada flava,-,NHMSYS0000876419,-,new_species,
INSERT,NEW,-,Western Honey Bee,-,Apis mellifera,-,NHMSYS0000875423,-,new_species,
INSERT,NEW,-,,-,Hedychrum niemelai,-,NHMSYS0000876047,-,new_species,
INSERT,NEW,-,,-,Hemichroa crocea,-,NHMSYS0020481233,-,new_species,
INSERT,NEW,-,Blunt Tailed Digger Wasp,-,Crossocerus dimidiatus,-,NHMSYS0000875783,-,new_species,
INSERT,NEW,-,Small Gorse Mining Bee,-,Andrena ovatula,-,NHMSYS0000875249,-,new_species,
INSERT,NEW,-,Ivy Bee,-,Colletes hederae,-,NBNSYS0100002538,-,new_species,
INSERT,NEW,-,Norwegian Wasp,-,Dolichovespula norwegica,-,NHMSYS0000875847,-,new_species,
INSERT,NEW,-,Common Pine Combhorn,-,Diprion pini,-,NHMSYS0020480993,-,new_species,
INSERT,NEW,-,,-,Diplolepis nervosa,-,NBNSYS0000031892,-,new_species,
INSERT,NEW,-,Artichoke Gall,-,Andricus foecundatrix,-,NHMSYS0021206456,-,new_species,
INSERT,NEW,-,Hairy Yellow-face,-,Hylaeus hyalinatus,-,NHMSYS0000876106,-,new_species,
INSERT,NEW,-,Wild Rose Fusehorn,-,Arge ochropus,-,NHMSYS0020480782,-,new_species,
INSERT,NEW,-,,-,Tenthredopsis litterata,-,NHMSYS0020482489,-,new_species,
INSERT,NEW,-,,-,Tenthredo livida,-,NBNSYS0000013475,-,new_species,
INSERT,NEW,-,Impunctate Mini-miner,-,Andrena subopaca,-,NHMSYS0000875279,-,new_species,
INSERT,NEW,-,Large Yellow-face Bee,-,Hylaeus signatus,-,NHMSYS0000876116,-,new_species,
INSERT,NEW,-,Dark Blood Bee,-,Sphecodes niger,-,NHMSYS0000876687,-,new_species,
INSERT,NEW,-,,-,Caliroa annulipes,-,NHMSYS0020480852,-,new_species,
INSERT,NEW,-,,-,Tenthredo amoena,-,NBNSYS0000013466,-,new_species,
INSERT,NEW,-,,-,Halidamia affinis,-,NHMSYS0020481224,-,new_species,
INSERT,NEW,-,,-,Crossocerus podagricus,-,NHMSYS0000875798,-,new_species,
INSERT,NEW,-,Heather Mining Bee,-,Andrena fuscipes,-,NHMSYS0000875212,-,new_species,
INSERT,NEW,-,Reticulate Blood Bee,-,Sphecodes reticulatus,-,NHMSYS0000876692,-,new_species,
INSERT,NEW,-,,-,Hoplocampa pectoralis,-,NHMSYS0020481265,-,new_species,
INSERT,NEW,-,Squat Furrow Bee,-,Lasioglossum pauperatum,-,NHMSYS0000876199,-,new_species,
INSERT,NEW,-,Coast Leafcutter Bee,-,Megachile maritima,-,NHMSYS0000876301,-,new_species,
INSERT,NEW,-,Grey-gastered Mining Bee,-,Andrena tibialis,-,NHMSYS0000875283,-,new_species,
INSERT,NEW,-,,-,Caliroa cerasi,-,NHMSYS0020480853,-,new_species,
INSERT,NEW,-,Scarce Scabious Clubhorn,-,Abia candens,-,NHMSYS0020480646,-,new_species,
INSERT,NEW,-,Mud Wasp,-,Podalonia affinis,-,NHMSYS0000876591,-,new_species,
INSERT,NEW,-,Large Meadow Mining Bee,-,Andrena labialis,-,NHMSYS0000875221,-,new_species,
INSERT,NEW,-,,-,Myrmica ruginodis,-,NHMSYS0000876371,-,new_species,
INSERT,NEW,-,,-,Crossocerus ovalis,-,NHMSYS0000875794,-,new_species,
INSERT,NEW,-,Small Flecked Mining Bee,-,Andrena coitana,-,NHMSYS0000875181,-,new_species,
INSERT,NEW,-,,-,Psenulus concolor,-,NHMSYS0000876634,-,new_species,
INSERT,NEW,-,,-,Anteon pubicorne,-,NHMSYS0000875365,-,new_species,
INSERT,NEW,-,,-,Ectemnius lituratus,-,NHMSYS0000875887,-,new_species,
INSERT,NEW,-,Large Velvet Ant,-,Mutilla europaea,-,NHMSYS0000876354,-,new_species,
INSERT,NEW,-,Cliff Mason Bee,-,Osmia xanthomelana,-,NHMSYS0000876520,-,new_species,
INSERT,NEW,-,Small Spurred Digger Wasp,-,Nysson dimidiatus,-,NHMSYS0000876469,-,new_species,
INSERT,NEW,-,,-,Pseudomalus auratus,-,NBNSYS0100004922,-,new_species,
INSERT,NEW,-,Ornate Tailed Digger Wasp,-,Cerceris rybyensis,-,NHMSYS0000875634,-,new_species,
INSERT,NEW,-,,-,Eriocampa ovata,-,NHMSYS0020481132,-,new_species,
INSERT,NEW,-,,-,Macrophya annulata,-,NBNSYS0000013498,-,new_species,
INSERT,NEW,-,,-,Euura kirbyi,-,NHMSYS0021240248,-,new_species,
INSERT,NEW,-,Silvery Leafcutter Bee,-,Megachile leachella,-,NHMSYS0020977399,-,new_species,
INSERT,NEW,-,Blunt-jawed Nomad Bee,-,Nomada striata,-,NHMSYS0000876460,-,new_species,
INSERT,NEW,-,Painted Mining Bee,-,Andrena fucata,-,NHMSYS0000875206,-,new_species,
INSERT,NEW,-,Vestal Cuckoo Bee,-,Bombus vestalis,-,NBNSYS0100002030,-,new_species,
INSERT,NEW,-,,-,Birka cinereipes,-,NHMSYS0020480815,-,new_species,
INSERT,NEW,-,,-,Euura myosotidis,-,NHMSYS0021240353,-,new_species,
INSERT,NEW,-,Oyster Gall,-,Neuroterus anthracinus,-,NHMSYS0021206577,-,new_species,
INSERT,NEW,-,Gypsy Cuckoo Bee,-,Bombus bohemicus,-,NBNSYS0100002025,-,new_species,
INSERT,NEW,-,Short-horned Yellow-face Bee,-,Hylaeus brevicornis,-,NHMSYS0000876098,-,new_species,
INSERT,NEW,-,Bull-headed Furrow Bee,-,Lasioglossum zonulum,-,NHMSYS0000876218,-,new_species,
INSERT,NEW,-,,-,Passaloecus singularis,-,NHMSYS0000876544,-,new_species,
INSERT,NEW,-,Bilberry Mining Bee,-,Andrena lapponica,-,NHMSYS0000875224,-,new_species,
INSERT,NEW,-,,-,Dolichovespula media,-,NHMSYS0000875846,-,new_species,
INSERT,NEW,-,Pale-legged Stem-sawfly,-,Calameuta pallipes,-,NBNSYS0000013259,-,new_species,
INSERT,NEW,-,,-,Gasteruption jaculator,-,NHMSYS0020705037,-,new_species,
INSERT,NEW,-,Dusky Ant,-,Formica fusca,-,NHMSYS0000875954,-,new_species,
INSERT,NEW,-,,-,Aglaostigma aucupariae,-,NHMSYS0020480658,-,new_species,
INSERT,NEW,-,Fen Mason-wasp,-,Odynerus simillimus,-,NHMSYS0000876483,-,new_species,
INSERT,NEW,-,Narrow-headed Ant,-,Formica exsecta,-,NHMSYS0000875953,-,new_species,
