Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Cryptomyzus (Cryptomyzus) galeopsidis,-,NHMSYS0020705313,-,new_species,
INSERT,NEW,-,,-,Hayhurstia atriplicis,-,NBNSYS0000050574,-,new_species,
INSERT,NEW,-,Brassica Whitefly,-,Aleyrodes proletella,-,NHMSYS0020745995,-,new_species,
INSERT,NEW,-,,-,Uroleucon (Uromelan) solidaginis,-,NHMSYS0021299784,-,new_species,
INSERT,NEW,-,,-,Acalypta parvula,-,NHMSYS0020308882,-,new_species,
INSERT,NEW,-,Water Singer,-,Micronecta (Micronecta) poweri,-,NHMSYS0020309458,-,new_species,
INSERT,NEW,-,,-,Cyrtorhinus caricis,-,NHMSYS0020309136,-,new_species,
INSERT,NEW,-,Hawthorn Shieldbug,-,Acanthosoma haemorrhoidale,-,NHMSYS0020308885,-,new_species,
INSERT,NEW,-,,-,Cacopsylla sorbi,-,NHMSYS0020705857,-,new_species,
INSERT,NEW,-,,-,Viridicerus ustulatus,-,NHMSYS0020973654,-,new_species,
INSERT,NEW,-,,-,Pilophorus clavatus,-,NHMSYS0020309668,-,new_species,
INSERT,NEW,-,,-,Orius (Heterorius) majusculus,-,NHMSYS0020309560,-,new_species,
INSERT,NEW,-,,-,Metopolophium (Metopolophium) albidum,-,NHMSYS0020738314,-,new_species,
INSERT,NEW,-,,-,Rhopalus (Rhopalus) parumpunctatus,-,NHMSYS0020309775,-,new_species,
INSERT,NEW,-,,-,Psyllopsis fraxini,-,NHMSYS0020472770,-,new_species,
INSERT,NEW,-,,-,Macrosteles viridigriseus,-,NHMSYS0021126469,-,new_species,
INSERT,NEW,-,,-,Jacksonia papillata,-,NHMSYS0020736376,-,new_species,
INSERT,NEW,-,Lucerne Bug,-,Adelphocoris lineolatus,-,NHMSYS0020308897,-,new_species,
INSERT,NEW,-,,-,Trionymus perrisii,-,NHMSYS0021004992,-,new_species,
INSERT,NEW,-,,-,Psallus (Psallus) lepidus,-,NHMSYS0020309739,-,new_species,
INSERT,NEW,-,,-,Arboridia ribauti,-,NHMSYS0020705227,-,new_species,
INSERT,NEW,-,,-,Stictopleurus abutilon,-,NHMSYS0020309860,-,new_species,
INSERT,NEW,-,,-,Illinoia (Masonaphis) lambersi,-,NHMSYS0020736373,-,new_species,
INSERT,NEW,-,,-,Chaitophorus truncatus,-,NHMSYS0020736319,-,new_species,
INSERT,NEW,-,,-,Aphis (Aphis) ulicis,-,NHMSYS0020738186,-,new_species,
INSERT,NEW,-,,-,Euconomelus lepidus,-,NHMSYS0020705554,-,new_species,
INSERT,NEW,-,,-,Spanioneura fonscolombii,-,NHMSYS0021123524,-,new_species,
INSERT,NEW,-,,-,Eriosoma patchiae,-,NHMSYS0020705549,-,new_species,
INSERT,NEW,-,,-,Capsodes gothicus,-,NHMSYS0020309039,-,new_species,
